epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,906.609,0.67702,0.41692,0.90052,0.98969,0.98953,0.98842,0.82109,0.70468,0.40721,0.8589,0.0011684,0.0011684,0.0011684
44,926.983,0.64629,0.39578,0.88143,0.98766,0.97938,0.98982,0.83288,0.67538,0.39072,0.85645,0.0011486,0.0011486,0.0011486
45,947.683,0.66485,0.39982,0.88915,0.99857,0.97938,0.98948,0.83672,0.66452,0.38453,0.85992,0.0011288,0.0011288,0.0011288
46,968.223,0.67425,0.39694,0.88813,1,0.98647,0.99235,0.84854,0.69637,0.38075,0.87067,0.001109,0.001109,0.001109
47,988.86,0.67269,0.39536,0.88581,1,0.9883,0.98998,0.83428,0.68988,0.38623,0.86306,0.0010892,0.0010892,0.0010892
48,1009.53,0.66557,0.40653,0.87718,1,0.97818,0.99195,0.85001,0.63883,0.3746,0.85881,0.0010694,0.0010694,0.0010694
49,1030.17,0.64181,0.3933,0.88377,0.97955,0.98747,0.99257,0.83526,0.71381,0.40309,0.86613,0.0010496,0.0010496,0.0010496
50,1051.24,0.63025,0.37743,0.8783,0.98883,0.98969,0.99074,0.84531,0.6883,0.39392,0.85822,0.0010298,0.0010298,0.0010298
51,1071.36,0.64874,0.38142,0.89233,0.97744,0.98969,0.99111,0.85127,0.69713,0.40762,0.85684,0.00101,0.00101,0.00101
52,1092.47,0.64736,0.38956,0.87902,0.99198,0.97938,0.99016,0.84225,0.71873,0.40262,0.86812,0.0009902,0.0009902,0.0009902
53,1112.79,0.60742,0.3701,0.87526,1,0.98617,0.98874,0.84435,0.67318,0.38337,0.85648,0.0009704,0.0009704,0.0009704
54,1132.26,0.61555,0.37401,0.87505,1,0.98653,0.99246,0.84334,0.68742,0.38443,0.8594,0.0009506,0.0009506,0.0009506
55,1152.34,0.61684,0.39067,0.86702,0.9988,0.98969,0.99229,0.84059,0.68061,0.37542,0.85418,0.0009308,0.0009308,0.0009308
56,1173.15,0.6328,0.3841,0.87719,0.98968,0.98855,0.9915,0.85155,0.66505,0.37234,0.86019,0.000911,0.000911,0.000911
57,1193.28,0.62671,0.38128,0.89323,0.99871,0.98969,0.98905,0.84743,0.6727,0.37733,0.85926,0.0008912,0.0008912,0.0008912
58,1213.04,0.61088,0.37714,0.88353,1,0.97782,0.98983,0.85302,0.68717,0.37653,0.85865,0.0008714,0.0008714,0.0008714
59,1233.95,0.61317,0.36275,0.87493,1,0.98892,0.98931,0.83551,0.68406,0.3753,0.87207,0.0008516,0.0008516,0.0008516
60,1254.3,0.58592,0.35774,0.86273,0.9965,0.98969,0.99114,0.84464,0.67304,0.36602,0.85458,0.0008318,0.0008318,0.0008318
61,1274.98,0.59926,0.35882,0.87587,0.99769,0.97938,0.99326,0.84219,0.66318,0.38648,0.86317,0.000812,0.000812,0.000812
62,1295.96,0.57807,0.35309,0.87582,1,0.98809,0.9946,0.84983,0.64061,0.33833,0.85892,0.0007922,0.0007922,0.0007922
63,1317.49,0.59186,0.36559,0.87349,0.97977,0.99883,0.99469,0.82216,0.70645,0.35492,0.86601,0.0007724,0.0007724,0.0007724
64,1338.56,0.59249,0.34938,0.86576,0.98815,0.98969,0.99315,0.84214,0.66057,0.36142,0.85965,0.0007526,0.0007526,0.0007526
65,1359.21,0.58044,0.35418,0.87016,0.98459,0.98969,0.9904,0.8396,0.69356,0.36711,0.8558,0.0007328,0.0007328,0.0007328
66,1379.92,0.58529,0.35972,0.87244,0.99879,0.98969,0.99252,0.85642,0.63984,0.35316,0.85822,0.000713,0.000713,0.000713
67,1400.15,0.57292,0.35272,0.87854,1,0.98386,0.99118,0.8369,0.65587,0.3679,0.85157,0.0006932,0.0006932,0.0006932
68,1420.99,0.58334,0.35357,0.86554,0.99791,0.98969,0.99322,0.85415,0.66979,0.36383,0.86162,0.0006734,0.0006734,0.0006734
69,1441.56,0.58441,0.35565,0.87056,0.98967,0.98787,0.99386,0.85679,0.61862,0.34264,0.84878,0.0006536,0.0006536,0.0006536
70,1461.65,0.57124,0.35497,0.87209,0.9956,0.98969,0.99258,0.85648,0.63332,0.34976,0.85106,0.0006338,0.0006338,0.0006338
71,1482.62,0.57578,0.36002,0.86786,0.99616,0.98969,0.99433,0.87276,0.63688,0.33843,0.85353,0.000614,0.000614,0.000614
72,1503.51,0.56273,0.34104,0.85947,1,0.98715,0.99451,0.86766,0.6069,0.33991,0.85125,0.0005942,0.0005942,0.0005942
73,1526.86,0.54177,0.33094,0.8563,0.99911,0.98969,0.99398,0.86673,0.62294,0.33318,0.8474,0.0005744,0.0005744,0.0005744
74,1548.12,0.56751,0.34552,0.86535,0.99932,0.98969,0.99228,0.88055,0.6035,0.34179,0.83882,0.0005546,0.0005546,0.0005546
75,1569.03,0.55055,0.33728,0.86693,1,0.98928,0.99203,0.86081,0.62521,0.3522,0.84209,0.0005348,0.0005348,0.0005348
76,1589.64,0.53592,0.32582,0.85012,1,0.98911,0.99093,0.85962,0.62679,0.35241,0.84781,0.000515,0.000515,0.000515
77,1610.3,0.54247,0.33646,0.86088,1,0.98968,0.99035,0.86784,0.61573,0.35548,0.84416,0.0004952,0.0004952,0.0004952
78,1630.49,0.53769,0.32297,0.85721,1,0.98832,0.99165,0.8595,0.61837,0.36831,0.85042,0.0004754,0.0004754,0.0004754
79,1651.04,0.54174,0.33157,0.87036,0.99396,0.98969,0.99121,0.8605,0.63334,0.35513,0.84919,0.0004556,0.0004556,0.0004556
80,1671.41,0.54615,0.33029,0.8703,1,0.98605,0.9899,0.86075,0.61824,0.33942,0.84649,0.0004358,0.0004358,0.0004358
81,1692.77,0.52292,0.32031,0.84578,0.99574,0.98969,0.99035,0.86076,0.62391,0.33786,0.83744,0.000416,0.000416,0.000416
82,1714.31,0.53294,0.32053,0.85354,0.99846,0.98969,0.99169,0.87121,0.63299,0.34997,0.84609,0.0003962,0.0003962,0.0003962
83,1734.39,0.51625,0.31752,0.8552,1,0.988,0.9917,0.87126,0.61909,0.33824,0.85012,0.0003764,0.0003764,0.0003764
84,1756.09,0.5146,0.32238,0.85945,1,0.98699,0.99336,0.87505,0.5986,0.33673,0.84106,0.0003566,0.0003566,0.0003566
85,1778.34,0.50753,0.31704,0.86225,1,0.98862,0.99398,0.85927,0.61381,0.33551,0.8467,0.0003368,0.0003368,0.0003368
86,1798.96,0.51243,0.31659,0.85697,0.98811,0.98969,0.99341,0.85811,0.61947,0.34304,0.84817,0.000317,0.000317,0.000317
87,1819.91,0.50492,0.311,0.85455,0.99962,0.98969,0.99398,0.87512,0.59565,0.32389,0.84562,0.0002972,0.0002972,0.0002972
88,1840.85,0.4982,0.30896,0.85411,1,0.98729,0.9917,0.86954,0.59897,0.33796,0.84217,0.0002774,0.0002774,0.0002774
89,1861.46,0.49601,0.30642,0.84496,1,0.98867,0.9939,0.87274,0.59794,0.33238,0.84562,0.0002576,0.0002576,0.0002576
90,1882.1,0.50492,0.30745,0.85989,1,0.98919,0.99374,0.87331,0.59473,0.32501,0.84457,0.0002378,0.0002378,0.0002378
91,1906.45,0.48987,0.30315,0.83137,1,0.9877,0.99415,0.86272,0.60179,0.32169,0.84279,0.000218,0.000218,0.000218
92,1926.93,0.4918,0.30095,0.83725,1,0.98832,0.99433,0.87065,0.59103,0.32007,0.84253,0.0001982,0.0001982,0.0001982
93,1947.12,0.48682,0.29882,0.8258,1,0.98845,0.99442,0.86608,0.60994,0.32234,0.84172,0.0001784,0.0001784,0.0001784
94,1968.44,0.48198,0.29155,0.84001,1,0.98818,0.99398,0.87602,0.58677,0.32092,0.83722,0.0001586,0.0001586,0.0001586
95,1988.75,0.4527,0.28179,0.84119,0.99956,0.98969,0.99415,0.88802,0.5825,0.33273,0.83914,0.0001388,0.0001388,0.0001388
96,2008.69,0.4719,0.28061,0.82553,1,0.98835,0.99407,0.87824,0.57203,0.31937,0.83441,0.000119,0.000119,0.000119
97,2028.65,0.46984,0.28326,0.83135,1,0.98941,0.99424,0.87805,0.58102,0.32654,0.8365,9.92e-05,9.92e-05,9.92e-05
98,2047.86,0.46709,0.28091,0.83433,0.9995,0.98969,0.99415,0.88417,0.57917,0.3195,0.83473,7.94e-05,7.94e-05,7.94e-05
99,2067.79,0.44146,0.27628,0.82256,0.99944,0.98969,0.99415,0.88111,0.57263,0.31848,0.83441,5.96e-05,5.96e-05,5.96e-05
100,2087.74,0.44648,0.2698,0.82685,0.9994,0.98969,0.99407,0.8934,0.56577,0.32261,0.83318,3.98e-05,3.98e-05,3.98e-05
